"id","truth","rf","xgboost","svm","nb","majority","random"
"1000s15f3t1g0.01py1-y1+y2-y1+y3",0.285166159340701,0.285166159340701,0.285166159340701,0.285166159340701,0.289560594666497,0.285166159340701,0.289560594666497
"1000s15f3t1g0.01py1-y1e2-y1e3",0.504283426701396,0.504283426701396,0.504283426701396,0.504283426701396,0.540748897903358,0.504283426701396,0.504283426701396
"1000s15f3t1g0.01py1-y1e2+y2e2-y1e2+y3e2",0.412558007533247,0.453600382754646,0.453600382754646,0.453600382754646,0.412558007533247,0.453600382754646,0.522224714732035
"1000s15f3t1g0.01py1y2y3",0.273329544501509,0.273329544501509,0.273329544501509,0.273329544501509,0.273329544501509,0.273329544501509,0.275050305555581
"1000s15f3t1g0.05py1-y1+y2-y1+y3",0.368840086085291,0.369940369408182,0.369940369408182,0.369060959557146,0.369060959557146,0.369940369408182,0.369940369408182
"1000s15f3t1g0.05py1-y1e2-y1e3",0.609817568497473,0.609817568497473,0.609817568497473,0.609817568497473,0.638099853956657,0.609817568497473,0.638099853956657
"1000s15f3t1g0.05py1-y1e2+y2e2-y1e2+y3e2",0.616457347834655,0.616457347834655,0.616457347834655,0.616457347834655,0.67001204026324,0.616457347834655,0.616457347834655
"1000s15f3t1g0.05py1y2y3",0.378192163124306,0.378467584405327,0.378467584405327,0.378467584405327,0.378192163124306,0.378467584405327,0.378467584405327
"1000s15f3t1g0.1py1-y1+y2-y1+y3",0.483400991276283,0.483400991276283,0.483850885689784,0.483400991276283,0.483400991276283,0.483850885689784,0.483616951546122
"1000s15f3t1g0.1py1-y1e2-y1e3",0.75501857684326,0.75501857684326,0.75501857684326,0.75501857684326,0.76470019115866,0.75501857684326,0.770482004528534
"1000s15f3t1g0.1py1-y1e2+y2e2-y1e2+y3e2",0.688955437642124,0.688955437642124,0.692275520708934,0.688955437642124,0.692275520708934,0.688955437642124,0.688955437642124
"1000s15f3t1g0.1py1y2y3",0.489565821522872,0.489565821522872,0.489565821522872,0.489565821522872,0.489565821522872,0.489812789970715,0.489565821522872
"1000s15f3t2g0.01py1-y1+y2-y1+y3",0.776954621799259,0.776954621799259,0.776954621799259,0.776954621799259,0.777463359058456,0.778463244105147,0.777463359058456
"1000s15f3t2g0.01py1-y1e2-y1e3",0.88184905341051,0.88184905341051,0.884776343147561,0.88184905341051,0.884776343147561,0.88184905341051,0.88184905341051
"1000s15f3t2g0.01py1-y1e2+y2e2-y1e2+y3e2",0.913457770841676,0.91615209145318,0.913983636410816,0.91615209145318,0.91615209145318,0.913983636410816,0.913457770841676
"1000s15f3t2g0.01py1y2y3",0.78078932205731,0.78078932205731,0.78078932205731,0.78078932205731,0.78078932205731,0.782148657471226,0.780941006613383
"1000s15f3t2g0.05py1-y1+y2-y1+y3",0.7029670734322,0.702980936628683,0.703137957142182,0.702980936628683,0.703137957142182,0.704312383968787,0.702980936628683
"1000s15f3t2g0.05py1-y1e2-y1e3",1.2248489761047,1.2248489761047,1.2248489761047,1.2248489761047,1.2248489761047,1.2248489761047,1.22569347093367
"1000s15f3t2g0.05py1-y1e2+y2e2-y1e2+y3e2",0.865430396599161,0.865430396599161,0.865430396599161,0.865430396599161,0.880660806687881,0.865430396599161,0.865430396599161
"1000s15f3t2g0.05py1y2y3",0.665350287570849,0.665350287570849,0.665350287570849,0.665350287570849,0.665350287570849,0.666321542457144,0.665350287570849
