rf.img_name,truth,rf,svm,xgb,random,majority
163096_rot_270.jpg,0.619434,0.619434,0.619434,0.619434,0.619434,0.514282
163096_rot_90.jpg,0.623625,0.623625,0.623625,0.623625,0.574525,0.515079
164046_h_flip_rot_180.jpg,0.618168,0.618168,0.618168,0.618168,0.498475,0.570156
164046_h_flip_rot_270.jpg,0.619011,0.619011,0.619011,0.619011,0.60712,0.565132
164046_rot_180.jpg,0.6165,0.6165,0.6165,0.6165,0.6165,0.566248
164046_rot_270.jpg,0.607667,0.607667,0.607667,0.607667,0.478447,0.55782
167062_h_flip_rot_180.jpg,0.911662,0.911662,0.911662,0.911662,0.578092,0.911662
167062_h_flip_rot_270.jpg,0.913903,0.913903,0.913903,0.913903,0.887593,0.913903
167062_h_flip_rot_90.jpg,0.914783,0.914783,0.914783,0.914783,0.886312,0.914783
167062_h_flip.jpg,0.910715,0.910715,0.910715,0.910715,0.556576,0.910715
167062_original.jpg,0.909375,0.909375,0.883306,0.909375,0.683778,0.909375
167062_rot_180.jpg,0.908269,0.908269,0.908269,0.908269,0.885661,0.908269
167062_rot_270.jpg,0.907394,0.907394,0.907394,0.907394,0.887765,0.907394
167062_rot_90.jpg,0.903227,0.903227,0.903227,0.903227,0.561892,0.903227
167083_h_flip_rot_180.jpg,0.757781,0.757781,0.739125,0.757781,0.757781,0.70727
167083_h_flip_rot_270.jpg,0.753595,0.753595,0.753595,0.753595,0.73255,0.701829
167083_h_flip_rot_90.jpg,0.767185,0.767185,0.739246,0.767185,0.606958,0.700335
167083_h_flip.jpg,0.765125,0.765125,0.765125,0.765125,0.588994,0.704802
167083_original.jpg,0.766928,0.766928,0.739309,0.766928,0.711179,0.706237
167083_rot_180.jpg,0.763175,0.763175,0.763175,0.763175,0.60385,0.706261
167083_rot_90.jpg,0.765279,0.765279,0.765279,0.765279,0.732018,0.70729
168084_h_flip.jpg,0.753061,0.753061,0.753061,0.753061,0.748138,0.664222
168084_rot_180.jpg,0.754855,0.754855,0.754855,0.754855,0.494504,0.661778
168084_rot_90.jpg,0.759309,0.759309,0.749931,0.759309,0.489502,0.663718
170057_h_flip_rot_90.jpg,0.594081,0.587702,0.587702,0.544291,0.571451,0.587702
170057_rot_180.jpg,0.592199,0.589136,0.586031,0.553561,0.592199,0.589136
170057_rot_270.jpg,0.588784,0.588503,0.588503,0.588503,0.545792,0.588784
17067_h_flip_rot_180.jpg,0.679954,0.679954,0.679954,0.679954,0.622629,0.653332
17067_h_flip_rot_90.jpg,0.687546,0.687546,0.671904,0.687546,0.648883,0.648883
17067_h_flip.jpg,0.681534,0.681534,0.681534,0.665848,0.647754,0.647754
175083_rot_180.jpg,0.711721,0.711721,0.711721,0.711721,0.690521,0.660367
176051_rot_270.jpg,0.765118,0.765118,0.765118,0.734192,0.734192,0.702153
176051_rot_90.jpg,0.765238,0.765238,0.765238,0.735085,0.765238,0.698361
179084_h_flip_rot_180.jpg,0.808724,0.808724,0.808724,0.808724,0.652314,0.808724
179084_h_flip_rot_270.jpg,0.804828,0.804828,0.804828,0.804828,0.700381,0.804828
179084_h_flip_rot_90.jpg,0.810668,0.810668,0.810668,0.810668,0.798302,0.810668
179084_h_flip.jpg,0.809643,0.809643,0.809643,0.809643,0.796749,0.809643
179084_original.jpg,0.813003,0.813003,0.800403,0.813003,0.801473,0.813003
179084_rot_180.jpg,0.80903,0.80903,0.80903,0.80903,0.803422,0.80903
179084_rot_270.jpg,0.811144,0.811144,0.811144,0.811144,0.799265,0.811144
179084_rot_90.jpg,0.809037,0.809037,0.809037,0.809037,0.809037,0.809037
181021_h_flip.jpg,0.828931,0.828931,0.825696,0.828931,0.642003,0.818954
182053_h_flip_rot_270.jpg,0.723466,0.723466,0.723466,0.723466,0.704792,0.704792
182053_rot_90.jpg,0.734272,0.734272,0.734272,0.734272,0.734272,0.705102
183066_h_flip_rot_270.jpg,0.720089,0.720089,0.720089,0.720089,0.720089,0.660225
183066_rot_180.jpg,0.72855,0.72855,0.725144,0.72855,0.725144,0.661828
183066_rot_270.jpg,0.729073,0.729073,0.729073,0.729073,0.665968,0.665968
185092_h_flip_rot_90.jpg,0.783738,0.6901,0.783738,0.742411,0.6901,0.766036
187099_h_flip_rot_180.jpg,0.617962,0.617962,0.617962,0.617962,0.586824,0.539127
187099_h_flip_rot_90.jpg,0.607842,0.607842,0.587829,0.607842,0.543475,0.541968
187099_h_flip.jpg,0.616412,0.616412,0.616412,0.616412,0.583904,0.543093
187099_rot_180.jpg,0.609161,0.609161,0.609161,0.609161,0.609161,0.534263
187099_rot_270.jpg,0.604255,0.604255,0.604255,0.604255,0.543449,0.543449
187099_rot_90.jpg,0.602182,0.602182,0.602182,0.602182,0.54321,0.54321
189013_h_flip_rot_180.jpg,0.721602,0.721602,0.721602,0.721602,0.688725,0.688725
189013_rot_90.jpg,0.725032,0.725032,0.725032,0.725032,0.632432,0.691002
189029_h_flip_rot_270.jpg,0.730848,0.730848,0.730848,0.730848,0.726607,0.68437
189029_h_flip_rot_90.jpg,0.731118,0.731118,0.731118,0.731118,0.710445,0.686171
189029_h_flip.jpg,0.732273,0.732273,0.726175,0.732273,0.708916,0.685287
189029_original.jpg,0.739427,0.739427,0.735324,0.739427,0.660651,0.694052
189029_rot_90.jpg,0.736919,0.736919,0.736919,0.736919,0.736919,0.691569
189080_h_flip_rot_180.jpg,0.754011,0.754011,0.754011,0.754011,0.654303,0.754011
189080_h_flip_rot_270.jpg,0.755411,0.755411,0.755411,0.755411,0.755411,0.755411
189080_h_flip_rot_90.jpg,0.753384,0.753384,0.753384,0.753384,0.705698,0.753384
189080_h_flip.jpg,0.755016,0.755016,0.755016,0.755016,0.731948,0.755016
189080_original.jpg,0.753597,0.753597,0.753597,0.753597,0.652159,0.753597
189080_rot_180.jpg,0.750469,0.750469,0.750469,0.750469,0.655455,0.750469
189096_h_flip_rot_180.jpg,0.643189,0.643189,0.643189,0.643189,0.552583,0.522323
189096_h_flip_rot_270.jpg,0.639247,0.639247,0.604244,0.639247,0.639247,0.521955
189096_h_flip.jpg,0.63493,0.63493,0.63493,0.63493,0.518813,0.518813
189096_original.jpg,0.64457,0.64457,0.603624,0.64457,0.64457,0.519985
189096_rot_180.jpg,0.635939,0.635939,0.635939,0.635939,0.601402,0.520281
19021_h_flip.jpg,0.712475,0.712475,0.712475,0.712475,0.712475,0.692814
196027_h_flip_rot_90.jpg,0.828261,0.827295,0.827295,0.804112,0.804112,0.804112
196027_rot_180.jpg,0.828227,0.826547,0.828227,0.826547,0.667271,0.798689
196040_h_flip_rot_180.jpg,0.493329,0.493329,0.493329,0.493329,0.478753,0.481972
196040_h_flip_rot_270.jpg,0.485885,0.485885,0.485885,0.485885,0.475583,0.478953
196040_h_flip_rot_90.jpg,0.50139,0.50139,0.50139,0.50139,0.483582,0.483582
196040_h_flip.jpg,0.493844,0.493844,0.493844,0.493844,0.475338,0.482589
196040_original.jpg,0.477946,0.477946,0.477946,0.477946,0.470965,0.477006
196040_rot_180.jpg,0.482357,0.482357,0.482357,0.482357,0.467756,0.478971
196040_rot_90.jpg,0.497493,0.497493,0.497493,0.497493,0.430592,0.478994
196062_original.jpg,0.741908,0.741908,0.728518,0.741908,0.690634,0.724258
196073_h_flip_rot_180.jpg,0.819559,0.819559,0.81359,0.819559,0.621361,0.789308
196088_rot_270.jpg,0.604671,0.591755,0.604671,0.604671,0.591755,0.546703
197017_h_flip.jpg,0.795944,0.795944,0.795944,0.523868,0.696526,0.774611
197017_rot_270.jpg,0.800192,0.800192,0.800192,0.518337,0.776618,0.776618
198087_h_flip_rot_180.jpg,0.855888,0.855888,0.855888,0.850926,0.807634,0.807634
198087_original.jpg,0.854084,0.854084,0.854084,0.853166,0.653373,0.812336
198087_rot_270.jpg,0.851035,0.850591,0.850591,0.850591,0.851035,0.814479
198087_rot_90.jpg,0.851015,0.851015,0.850374,0.850374,0.850374,0.813608
20069_h_flip_rot_180.jpg,0.676002,0.676002,0.674638,0.676002,0.580265,0.633799
20069_h_flip_rot_90.jpg,0.680281,0.680281,0.680281,0.680281,0.632177,0.632177
20069_h_flip.jpg,0.68055,0.68055,0.68055,0.68055,0.68055,0.633766
20069_rot_180.jpg,0.679682,0.679682,0.679682,0.679682,0.67069,0.635996
20069_rot_270.jpg,0.681621,0.681621,0.681621,0.681621,0.577552,0.632287
201080_original.jpg,0.848992,0.848992,0.848992,0.848992,0.789354,0.828056
2018_h_flip_rot_180.jpg,0.800099,0.800099,0.800099,0.800099,0.664991,0.800099
2018_h_flip_rot_90.jpg,0.797463,0.797463,0.778334,0.797463,0.679245,0.797463
2018_h_flip.jpg,0.799048,0.799048,0.799048,0.799048,0.77684,0.799048
2018_original.jpg,0.798004,0.798004,0.774185,0.798004,0.774185,0.798004
2018_rot_180.jpg,0.795889,0.795889,0.795889,0.795889,0.669779,0.795889
2018_rot_270.jpg,0.796365,0.796365,0.796365,0.796365,0.772691,0.796365
2018_rot_90.jpg,0.795635,0.795635,0.795635,0.795635,0.779309,0.795635
202000_h_flip_rot_180.jpg,0.611514,0.611514,0.611514,0.611514,0.561629,0.510168
202000_h_flip_rot_270.jpg,0.61477,0.61477,0.61477,0.61477,0.583031,0.507242
202000_h_flip.jpg,0.61125,0.61125,0.61125,0.61125,0.511713,0.511713
202000_original.jpg,0.624194,0.624194,0.624194,0.563703,0.624194,0.508523
202000_rot_180.jpg,0.608937,0.608937,0.608937,0.608937,0.547455,0.504135
202000_rot_270.jpg,0.616227,0.616227,0.616227,0.616227,0.553286,0.502402
202000_rot_90.jpg,0.613017,0.613017,0.613017,0.613017,0.568751,0.506483
206062_h_flip_rot_180.jpg,0.816683,0.815225,0.815225,0.815225,0.816683,0.815252
206062_rot_270.jpg,0.81983,0.817432,0.81983,0.817432,0.81983,0.815271
207038_h_flip.jpg,0.596964,0.596964,0.596964,0.596964,0.502311,0.576443
207049_h_flip_rot_270.jpg,0.648256,0.645608,0.648256,0.599399,0.648256,0.636356
207049_h_flip_rot_90.jpg,0.646274,0.642473,0.646274,0.59934,0.646274,0.636196
207049_h_flip.jpg,0.647684,0.646514,0.646514,0.603872,0.603872,0.634374
208001_rot_90.jpg,0.65302,0.65302,0.65302,0.640153,0.65302,0.618868
208078_h_flip_rot_270.jpg,0.680936,0.680936,0.680936,0.680936,0.680936,0.476774
